store_id,city
1,Pune
2,Pune
3,Delhi
4,Mumbai
5,Mumbai
6,Mumbai
7,Delhi
8,Bangalore
9,Delhi
10,Bangalore
11,Delhi
12,Pune
13,Bangalore
14,Mumbai
15,Pune
16,Pune
17,Delhi
18,Bangalore
19,Mumbai
20,Mumbai
21,Delhi
22,Mumbai
23,Pune
24,Pune
25,Delhi
26,Pune
27,Bangalore
28,Mumbai
29,Bangalore
30,Pune
31,Bangalore
32,Mumbai
33,Pune
34,Mumbai
35,Bangalore
36,Delhi
37,Mumbai
38,Mumbai
39,Pune
40,Bangalore
41,Pune
42,Mumbai
43,Pune
44,Delhi
45,Delhi
46,Delhi
47,Pune
48,Mumbai
49,Pune
50,Pune
51,Bangalore
52,Mumbai
53,Pune
54,Mumbai
55,Mumbai
56,Delhi
57,Mumbai
58,Bangalore
59,Bangalore
60,Bangalore
61,Pune
62,Bangalore
63,Delhi
64,Bangalore
65,Pune
66,Mumbai
67,Pune
68,Mumbai
69,Delhi
70,Delhi
71,Delhi
72,Pune
73,Bangalore
74,Pune
75,Mumbai
76,Delhi
77,Delhi
78,Pune
79,Bangalore
80,Bangalore
81,Delhi
82,Mumbai
83,Bangalore
84,Mumbai
85,Mumbai
86,Mumbai
87,Mumbai
88,Bangalore
89,Mumbai
90,Mumbai
91,Pune
92,Pune
93,Delhi
94,Pune
95,Mumbai
96,Pune
97,Mumbai
98,Mumbai
99,Bangalore
100,Delhi
