order_item_id,order_id,product_id,qty,price
1,145042,472,3,176
2,110932,1666,2,1034
3,269799,8616,4,2290
4,298741,9909,3,1555
5,105218,1179,3,936
6,162991,6221,4,248
7,259284,1104,3,790
8,205732,8451,4,4701
9,184725,9946,2,1858
10,159121,5640,1,782
11,6412,5626,1,1395
12,73052,8686,3,2669
13,197680,9246,4,124
14,70641,4444,1,1727
15,175364,3611,1,2069
16,203659,1623,2,768
17,85517,8521,4,4522
18,251665,3408,2,4202
19,92018,6165,4,1439
20,118743,2915,4,288
21,47729,7975,2,3387
22,46276,2246,1,3670
23,143389,3167,1,4428
24,271478,2035,2,1383
25,161702,2695,1,4668
26,77584,9892,1,744
27,210557,2467,3,2056
28,137570,498,4,4334
29,285583,4783,2,1509
30,173623,9637,3,731
31,156408,2275,3,470
32,70740,5150,3,2800
33,63549,5332,2,1954
34,23534,2340,3,2814
35,237014,1566,2,2434
36,269786,5191,1,4430
37,63938,8097,2,2447
38,21350,2006,2,2850
39,110635,5556,1,4877
40,163654,3106,3,650
41,22822,5018,4,3973
42,109939,8655,1,172
43,232150,2986,4,4635
44,244731,216,1,1474
45,188272,6170,4,4555
46,50728,5220,3,4611
47,38749,2699,1,2096
48,289783,900,3,3399
49,61864,7765,4,2844
50,137081,7102,4,427
51,7897,7914,2,1404
52,178573,1246,1,3088
53,38284,1763,1,4253
54,38679,2959,2,1879
55,31936,1564,1,3493
56,201005,2234,3,3208
57,210433,1392,2,3044
58,66506,4355,3,1396
59,225913,9360,4,1837
60,14744,9186,3,2907
61,234981,5352,1,4808
62,127331,4816,1,2522
63,98871,6704,4,1860
64,176343,1394,3,4125
65,69452,4505,1,4174
66,227529,1720,2,2958
67,281086,7153,1,4906
68,185522,7797,3,3530
69,48878,6414,4,4456
70,125654,6305,3,4799
71,43309,8348,4,461
72,222173,1893,3,748
73,280334,4354,4,1969
74,77558,235,2,2915
75,110793,6703,2,988
76,236384,8368,3,2934
77,18634,8676,2,2657
78,228490,8870,3,510
79,135575,8430,4,4350
80,21576,9235,4,589
81,217101,5887,2,1042
82,165670,968,1,3120
83,4952,3061,2,2691
84,153406,1191,1,2693
85,165640,1607,3,4896
86,275032,5363,3,2530
87,70177,5871,1,3531
88,218913,7495,4,3634
89,238390,5620,2,1381
90,114901,3078,1,1038
91,182257,6981,3,4043
92,180351,3261,1,3689
93,11245,1664,3,4046
94,183534,6297,1,1203
95,238810,385,3,318
96,136555,6720,3,2094
97,16241,4779,2,1824
98,213135,7644,2,1812
99,282062,7224,4,2555
100,210445,6553,3,413
101,154603,4576,1,4210
102,45070,2354,3,1906
103,262816,7237,1,3926
104,92928,2933,3,2539
105,184238,2312,3,3237
106,164051,8901,1,3038
107,235763,354,1,3969
108,32770,4514,3,3496
